record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
1,cand_n32_bit00_m8299b36f_fill80000000,48,12,133,78,55,"0x00000000,0x00000000,0x00000000,0x10002000,0x02501040,0x00000000,0x00000000,0x00000400,0x00000000,0x00000000,0x2501c800,0x80bf1110,0x8eef632e,0x063acf22,0x30e35c04,0x0fe20aba","0x38080225,0xac01c0a6,0x903b002e,0x881ad413,0x40205040,0x16041310,0x14608bf0,0x03490f84"
2,cand_n32_bit00_m8299b36f_fill80000000,49,12,129,95,34,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00002000,0x00000000,0x04000000,0x00000000,0x00000000,0x40000040,0xa4200161,0x70bf9916,0xcf789e63,0x10382470,0x7caa1600","0x10044252,0xf6f16022,0xa3928018,0x3227c135,0x04400409,0x8c075105,0x4dae4daf,0xec29011f"
3,cand_n32_bit00_m8299b36f_fill80000000,51,12,123,87,36,"0x00100000,0x00000004,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00100000,0x00000000,0x00001000,0xf11ab821,0xb94dd0c8,0x9a9698ca,0xd150425c,0xc4dd0326","0x400120b4,0x0840c550,0x2b0717c1,0x0430b45c,0x10a00203,0x949686cc,0x1ff20380,0x8b0e3368"
4,cand_n32_bit00_m8299b36f_fill80000000,51,12,132,95,37,"0x00000000,0x00000000,0x00000000,0x00010000,0x01000000,0x00000002,0x00000000,0x00000000,0x00000000,0x00008000,0x28040020,0x04001fa2,0x4cbe4c77,0x7dfd6f4a,0x41f7c364,0x38da9b48","0x22010400,0xc206255d,0xe1682649,0x101b714c,0x4086c0c8,0x0d088575,0x75c8a88b,0x16baee19"
5,cand_n32_bit00_m8299b36f_fill80000000,51,12,119,94,25,"0x00000000,0x00000000,0x00020000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x02000000,0x00000010,0x00000044,0x32202163,0x88842609,0x65078416,0x14cef4ca,0x5944d798","0x00020011,0x94081d91,0xf1231e3b,0x0e4a04a5,0x0d202322,0xe0892ee9,0xdd62493b,0x68709016"
6,cand_n32_bit00_m8299b36f_fill80000000,52,12,124,98,26,"0x00000000,0x00000020,0x40040000,0x00000004,0x04200000,0x00000000,0x00000008,0x00000000,0x00000000,0x00001000,0x00c41000,0xcd002917,0x5989dd92,0x1bea988f,0xc58be4e6,0x8807db14","0x04812000,0x48be9180,0x4582383c,0x0b324489,0x801f5086,0x0af9414a,0xfef1860d,0x65828ff3"
7,cand_n32_bit00_m8299b36f_fill80000000,53,12,124,92,32,"0x00000000,0x00000000,0x00000000,0x00000000,0x00001000,0x00000040,0x00010000,0x00000000,0x00000000,0x00000000,0x11000000,0x17282a10,0x0bf8136a,0x0228a9e9,0xf2f49031,0xe4bfc1cc","0x70304000,0x551d2587,0xf6dcf90e,0x7f45d868,0x01860080,0x2600138e,0x0ea42102,0x07618803"
8,cand_n32_bit00_m8299b36f_fill80000000,53,12,130,89,41,"0x00820000,0x00000000,0x00000000,0x00000020,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00400004,0x849053d0,0x46590959,0x48d4a671,0xc97ddff8,0x0ffc1dcb","0x31210a41,0x8b410425,0x1064b01a,0x244d44b1,0x42448108,0xd000f3a0,0xd48bbe8c,0xa22c5345"
9,cand_n32_bit00_m8299b36f_fill80000000,53,12,124,94,30,"0x00020000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00800000,0x02000000,0x00000000,0x80000000,0x80000010,0x10039497,0x99d2ce0f,0x890cf63e,0x463e2b03,0xa2bf7701","0x0000e100,0x337c0d90,0x416202a5,0x085473ac,0x3484440b,0xf061ca93,0xd5c3845e,0x40b92865"
10,cand_n32_bit00_m8299b36f_fill80000000,54,12,132,86,46,"0x00000000,0x00000000,0x00000000,0x00010080,0x00800000,0x01000010,0x00000000,0x00000000,0x00001000,0x08000020,0x81000202,0xe90a2420,0x0866ca66,0x0d125721,0x13e36496,0x7eaa563d","0x828082a0,0x2a2e92e0,0x4942c6a0,0x7d08b125,0x00206080,0xae015c99,0x011d5908,0x16f9a042"
