record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
1,bit13_m916a56aa,35,16,142,87,55,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00800000,0x10000000,0x00000100,0x08000000,0x00000000,0x00000000,0x00400000,0x00008002,0x6618514a","0x00400401,0xc204c474,0x9084ac86,0xeb2474e6,0x10808094,0xe4118c03,0x0543a2ea,0x307279b8"
2,bit13_m916a56aa,36,16,123,80,43,"0x00000000,0x04000000,0x00000800,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000800,0x08000000,0x00080000,0x00100402,0x550b0040","0x004a4802,0xc8054144,0x00cc0c80,0x2091bba8,0x85408089,0x9913da8a,0xbc00f00c,0xa508c4a8"
3,bit13_m916a56aa,38,16,130,90,40,"0x00000004,0x00000000,0x40000000,0x00000100,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00800000,0xc0080000,0x00000000,0x00020000,0x00000000,0x01800061,0x80822caa","0x408a8020,0x04205244,0xc07bc831,0x2002a34c,0x0d245283,0x3c4837b6,0x4254968c,0xcb584c4d"
4,bit13_m916a56aa,38,16,136,83,53,"0x00000000,0x00000000,0x00000000,0x00000000,0x08000010,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00020000,0x00000200,0x00800400,0x00d2d0c1","0x60401044,0x6b481e24,0xe8a0671a,0x01cf00e3,0x80110801,0xce14d018,0x96ec0150,0x60042562"
5,bit13_m916a56aa,39,16,122,86,36,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x80000000,0x00000200,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x08108000,0xb7daf9c1","0x10400048,0xcd6a980c,0x88522ece,0x8044a440,0x08094101,0x000cd10b,0x8c94cc3c,0x33d1fd0d"
6,bit13_m916a56aa,39,16,127,91,36,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x80000000,0x00000408,0x00000000,0x00000000,0x00000000,0x00000020,0x80000800,0x00000000,0x00000000,0x00001100,0x25c20480","0x8c403209,0x28877393,0x07866d24,0xc9b14640,0x20080804,0x11756802,0xd12aa0a4,0xeb1185d4"
7,bit13_m916a56aa,40,16,120,87,33,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00100000,0x00000000,0x00000000,0x00001000,0x00000000,0x04000000,0x00000000,0x08080000,0x00002400,0x800000c0,0xeb044fe8","0x02090004,0xda08a0c0,0x1b87d161,0x566b1528,0x30008522,0x0020caa9,0xc48ee140,0xe59061de"
8,bit13_m916a56aa,40,16,140,84,56,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x02020000,0x01000000,0x00000000,0x00000000,0x00800000,0x08000000,0x1001021a,0x548083d0","0x41131008,0x80c87a2a,0xb8868198,0xa3471ad0,0x28400204,0x7a855448,0x2c3b10c8,0x848aa102"
9,bit13_m916a56aa,40,16,136,85,51,"0x00000040,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00040000,0x00040000,0x00000400,0x20000000,0x00000000,0x10000000,0x20000000,0x60300202,0x68240888","0x182800a0,0x036f03a5,0x49d00358,0x0060c8a6,0x02000142,0xb0d98a00,0xf049006c,0xeb14afe5"
10,bit13_m916a56aa,40,16,140,85,55,"0x00000000,0x00000004,0x00000000,0x00000000,0x00000000,0x00000000,0x00004000,0x00000008,0x00000000,0x00000000,0x00000000,0x00000000,0x00001100,0x00000002,0x00002003,0xb0a50400","0x00084290,0x20868192,0x9653e116,0x300af120,0x18a04001,0xb744406f,0x948109c2,0x8ddc90b4"
11,bit13_m916a56aa,40,16,139,87,52,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000800,0x00000000,0x00000000,0x00000000,0x00000000,0x00000040,0x10000000,0x00000300,0x20300202,0x3cc5016a","0xe0041480,0x448418f1,0xc900881b,0xa75049e9,0x04898049,0x89827022,0x079bf0c4,0x70809ac4"
