record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
1,bit13_m916a56aa,42,24,91,91,0,"0x00000000,0x00000000,0x02000000,0x00000004,0x20000000,0x00000002,0x00000000,0x00000090,0x00008000,0x00000000,0x00000001,0x00000000,0x00000000,0x00000010,0x00000800,0x00000020","0x100304ac,0x2dd82ec0,0xa8c89194,0x00a20590,0x94511a99,0xd051680f,0x04855c3e,0x0580c4f4"
2,bit13_m916a56aa,41,24,93,93,0,"0x00000002,0x00220000,0x00020000,0x00000004,0x00000000,0x00000000,0x21000000,0x00800000,0x08000000,0x00000000,0x00000000,0x00000000,0x00008800,0x00000200,0x00000000,0x00000000","0x0083bd8c,0xaad414df,0x00300078,0xd2247c49,0xa142110b,0xe1489a11,0x1059a501,0x052ca670"
3,bit13_m916a56aa,41,24,94,94,0,"0x00000008,0x40000000,0x00000000,0x00000000,0x40000000,0x00000000,0x08000000,0x00000000,0x08400000,0x00000008,0x20000000,0x00000800,0x00000000,0x00000000,0x00010020,0x00000000","0x0c0e1830,0x4229e127,0x300546d9,0x86b1534b,0xd1ca0522,0xec296160,0xe3040a06,0x001583ca"
4,bit13_m916a56aa,42,24,95,95,0,"0x00000000,0x00000000,0x00000000,0x00000000,0x00040000,0x00000010,0x00000000,0x00000000,0x00000000,0x00200000,0x00000001,0x00004800,0x00000008,0x00004000,0x00000000,0x00400000","0x91c05a0c,0x9c0aba20,0x10733448,0xdcc235a5,0x05d109b0,0xdbf89101,0x309a8641,0x40070309"
5,bit13_m916a56aa,41,24,96,96,0,"0x00000000,0x00000000,0x00000000,0x00000080,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000001,0x00000000,0x00000000,0x00000000,0x01040044,0x00000400","0xc002dd07,0x2e354882,0xfcb011e3,0xa0b0a4d4,0xa0e80480,0x25e004b4,0x5854081b,0x4a65c5c1"
6,bit13_m916a56aa,43,24,96,96,0,"0x00000000,0x00000000,0x00000000,0x00000000,0x20000000,0x00400080,0x00000020,0x00000000,0x00002000,0x00000400,0x10000000,0x00080000,0x00000000,0x00000000,0x00008000,0x00000000","0x831678a4,0x947118ee,0x4c489003,0x1141c6e4,0xfd381980,0xca4969a4,0x61413412,0x00275049"
7,bit13_m916a56aa,42,24,96,96,0,"0x00100000,0x00002000,0x00010000,0x00020000,0x00000000,0x00000000,0x00401000,0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000800,0x00000000,0x10000000","0x100188aa,0xbc0aba48,0x4dc12025,0x1a589d05,0x6a0a060a,0x224f2802,0xe15fa007,0x898f1752"
8,bit13_m916a56aa,35,24,98,98,0,"0x00000000,0x00000000,0x00000000,0x00000000,0x00200000,0x00000000,0x00100000,0x00000000,0x00000000,0x00080000,0x00a00000,0x11000000,0x00000001,0x00000000,0x00000000,0x00000040","0x01357302,0x880388d4,0x081e8017,0x0b9230cd,0xf64abe16,0x88c64508,0xa4406c1c,0x12de19c5"
9,bit13_m916a56aa,38,24,100,100,0,"0x00000000,0x00100000,0x00000000,0x00000000,0x00004000,0x00000000,0x00000000,0x00000000,0x00010000,0x00000090,0x00002000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000","0x24a00502,0x8c8c0802,0xc892a17e,0x6be51c05,0xab378b56,0x2daf1089,0xd561121a,0xc2e22048"
10,bit13_m916a56aa,43,24,101,101,0,"0x00000000,0x00000000,0x00800000,0x00000000,0x00020000,0x00900000,0x00000080,0x00000000,0x00000000,0x00000000,0x00000000,0x00000010,0x00000000,0x00000000,0x00000400,0x01800040","0xf3d62409,0xaa5a80d4,0x00142809,0x2ad251c3,0x8922178d,0x07b202d6,0x57441ee9,0x11b023a2"
