record,candidate_id,input_hw,rounds,start_hw,best_hw,improvement,best_m2,best_state_diff
1,bit13_m916a56aa,35,16,142,89,53,"0x00000000,0x00000000,0x00000000,0x00000000,0x10000000,0x00000000,0x00000000,0x00000000,0x00000000,0x04000000,0x00000000,0x02000000,0x00000000,0x00000000,0x00010100,0x6969464c","0x00888108,0xca202bb0,0x4331a998,0xa9821103,0x10021801,0x98d44139,0xc412136d,0xd94fca27"
2,bit13_m916a56aa,36,16,123,87,36,"0x24000800,0x00000000,0x02000000,0x00002000,0x00000000,0x00000100,0x00000000,0x08004000,0x00000000,0x00000000,0x08002000,0x00000000,0x00000000,0x00000000,0x00000040,0x6db2b00a","0x88108000,0x8806c270,0x882285fc,0xc2583781,0x1040204d,0xba85c673,0xc8c1a096,0x82536904"
3,bit13_m916a56aa,38,16,130,83,47,"0x00000000,0x00000400,0x00200000,0x00000000,0x00000000,0x00000000,0x40000000,0x80000000,0x00000000,0x00000000,0x00000000,0x00000000,0x04000000,0x00040400,0xc5134080,0xd119425f","0x018a4011,0x04c44580,0x211daec8,0x915a3ef2,0x90110000,0x46c230b8,0xc0088885,0x181959d4"
4,bit13_m916a56aa,38,16,136,74,62,"0x00000000,0x00000000,0x00000000,0x00000010,0x00000000,0x00000000,0x00000000,0x00012000,0x00000000,0x00000000,0x20000000,0x00800000,0x00000000,0x00000000,0x8a200200,0x5a5d8252","0x0b091000,0x80401981,0xbe4c42ed,0x684b1c95,0x00220a14,0x0402c420,0x200b9180,0x931c2180"
5,bit13_m916a56aa,39,16,122,91,31,"0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x02000000,0x00000000,0x00000000,0x00000020,0x00000000,0x00010000,0x00000000,0x00001000,0x00000000,0x20000004,0x80029dd6","0x06800481,0x08f42658,0x61e22816,0x8e259143,0x30040020,0x9244b8d2,0x8e8e2a96,0x27abe2c2"
6,bit13_m916a56aa,39,16,127,81,46,"0x00000400,0x00000000,0x00000000,0x00000000,0x00010000,0x00002008,0x00000000,0x01000000,0x00020000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xe4400808,0x17288f11","0x8180d000,0x00d0ad6e,0x97e9a049,0xc1c9010c,0x02080043,0x12104c0a,0x0c77a940,0x82670948"
7,bit13_m916a56aa,40,16,120,80,40,"0x00000000,0x00000000,0x00000000,0x00000004,0x00010000,0x04000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x01200000,0x00402800,0x68d40889","0x08604040,0x14d0405a,0x69a2dc94,0x847586d5,0x00050008,0x2119684a,0x00700571,0x0a4c22ea"
8,bit13_m916a56aa,40,16,140,86,54,"0x00000000,0x00000000,0x00000000,0x00800000,0x40004000,0x00000000,0x00000000,0x00000000,0x00200000,0x00000400,0x00000000,0x00000000,0x00020000,0x00000820,0x00004000,0x1c894e40","0x20a40500,0x26b1f0d0,0x00ff0530,0xb0d1a099,0x93000000,0x95e9c091,0xb3267040,0x551a8290"
9,bit13_m916a56aa,40,16,136,76,60,"0x40100000,0x00000000,0x00000000,0x00000000,0x00000000,0x00080000,0x00000000,0x00000000,0x00000000,0x00000080,0x00000000,0x00000200,0x00000000,0x08000004,0x08058028,0x838ea434","0x05080004,0x109b201a,0x211808e5,0x9984f0f8,0x00201840,0xb181a2e9,0x80c2149c,0x4c288403"
10,bit13_m916a56aa,40,16,140,82,58,"0x00000000,0x00000100,0x04000000,0x00000080,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x01000000,0x00000000,0x50010200,0x60004000,0xa1000001,0x7bd44240","0x11420020,0x430a009c,0x48cb06e4,0x92110d41,0x08006200,0x304e0350,0x06796c2c,0x38a3cd2f"
11,bit13_m916a56aa,40,16,139,83,56,"0x00000000,0x04000000,0x00000040,0x00000000,0x00000000,0x00000100,0x00000000,0x00000010,0x00000000,0x00000000,0x00000000,0x08000000,0x00000020,0x04020000,0x08004100,0x24ee3360","0x54501484,0x4e78b0a5,0x3786adc0,0x0f187780,0x00008000,0x100c0444,0xa223ccf0,0x38842413"
12,bit13_m916a56aa,40,16,126,95,31,"0x00000000,0x00000200,0x00000000,0x00000000,0x00000000,0x04000000,0x00000000,0x00000000,0x00000020,0x20000000,0x00800000,0x00000000,0x04000000,0x00000040,0xa0000600,0x6015a56e","0x06200412,0xc2634521,0x007d2754,0xe0ab914f,0x00472040,0x62075b90,0x1e117765,0xc16ba0c1"
13,bit13_m916a56aa,40,16,129,86,43,"0x00000000,0x80000000,0x00000000,0x00000000,0x00000000,0x00100000,0x20000000,0x00000000,0x00000000,0x00000000,0x00000001,0x10000000,0x00000000,0x00000000,0x02000800,0x2001a062","0x80108101,0x8b82766a,0x9548a02f,0x89a8a990,0x02240948,0x55926443,0xe0209aa0,0x9c361108"
14,bit13_m916a56aa,41,16,132,86,46,"0x00000000,0x00000000,0x00000020,0x00000000,0x00000000,0x00000000,0x10000000,0x00000000,0x00000000,0x00000400,0x08000000,0x00004800,0x00000000,0x00000000,0x80000200,0xb48aa47d","0x82004a60,0xe4509489,0xc3230a23,0x91120b9e,0x40a10101,0x4090cb10,0x601916a7,0x886d87e0"
15,bit13_m916a56aa,41,16,136,89,47,"0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00010000,0x00000000,0x00080000,0x80000000,0x00000000,0x00000000,0x20020000,0x00008001,0x7653632a","0x84000800,0xdcd285ce,0x58322c83,0xc0c0d434,0x00400220,0xe9086065,0xd83f7517,0x8a11cae0"
16,bit13_m916a56aa,41,16,128,83,45,"0x00002000,0x00000000,0x00010000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000001,0x00000000,0x00000040,0x00001000,0x00000000,0x100a0000,0xec3b7fee","0x00025400,0x01092b81,0x8b256c05,0x2272109d,0x01800008,0x920472b7,0x4c101d4c,0x21f55d95"
17,bit13_m916a56aa,41,16,139,94,45,"0x00000000,0x00000000,0x00000000,0x00000000,0x00040040,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00200000,0x00000000,0x00000000,0x00800000,0x04000000,0x21768024","0x06206020,0x313571e6,0xf869cea5,0x4f4d888f,0x30100901,0x28876140,0x2126816d,0xa0044d83"
