w57,w58,w59,w60,g1,g2,h
309,594,54,698,277,886,609
309,809,822,103,563,23,484
309,828,604,423,769,616,871
310,477,913,139,981,409,452
310,477,913,140,982,410,452
312,454,696,683,934,666,756
312,979,400,215,808,74,290
312,979,400,733,302,592,290
316,980,178,144,625,313,712
317,132,13,636,818,970,152
317,691,774,303,418,726,308
319,329,390,333,323,464,141
320,498,46,468,522,472,974
320,712,489,796,740,1007,267
320,731,914,752,486,919,433
322,155,773,452,139,328,189
323,154,400,790,429,22,617
323,376,46,437,672,582,934
323,629,303,800,776,336,584
324,262,14,587,843,651,832
324,262,14,840,72,904,832
324,982,969,468,917,212,319
325,989,621,240,98,664,566
326,263,822,84,292,714,422
326,873,400,815,240,951,711
329,904,464,751,664,250,610
330,382,400,811,182,681,499
331,433,153,65,192,254,62
332,192,914,191,558,166,632
332,250,805,650,795,149,378
332,914,178,144,796,865,69
334,47,38,965,573,148,599
335,376,153,580,815,114,323
335,625,178,646,686,990,304
336,405,177,709,137,72,959
336,808,177,25,437,988,551
337,618,852,330,799,800,1
337,633,223,894,37,718,681
337,762,38,25,258,978,720
338,578,38,965,286,501,215
344,308,914,763,668,280,636
345,5,661,897,29,1021,992
345,985,400,310,1000,155,179
346,140,621,463,516,609,93
346,742,255,465,125,374,249
347,329,64,800,790,898,108
348,993,400,833,625,768,143
349,266,913,753,688,864,176
349,333,275,757,811,971,160
349,589,428,448,554,94,564
351,395,390,177,82,928,846
357,65,913,960,273,143,894
358,983,138,929,306,425,119
359,370,153,765,841,39,222
362,45,89,914,426,303,901
362,976,84,429,974,1011,37
363,996,313,764,476,157,705
365,200,913,753,737,857,120
369,206,275,994,50,547,497
369,548,369,408,135,957,822
369,970,678,568,572,289,741
370,583,390,233,434,689,255
371,774,388,953,113,582,469
372,256,813,392,744,32,312
372,842,922,252,234,741,507
373,807,153,330,1013,269,280
373,810,138,350,858,254,420
374,249,554,265,490,643,153
374,269,534,1013,36,227,191
374,529,716,809,331,594,263
376,935,390,706,343,965,622
377,156,913,486,285,229,968
378,640,773,954,248,418,170
378,989,914,861,719,685,990
381,491,905,6,429,262,857
383,848,297,655,158,776,618
383,915,411,950,530,1014,484
384,886,814,916,840,597,781
390,573,681,977,303,410,107
390,666,914,206,941,340,423
391,26,778,532,189,480,291
391,212,13,200,629,168,563
391,311,13,973,926,24,122
392,271,14,910,989,277,312
393,324,661,735,900,441,565
393,324,661,755,920,461,565
393,485,813,35,747,211,488
394,175,914,206,856,557,725
394,217,151,479,189,1002,813
396,80,954,733,352,111,783
396,144,105,789,397,657,260
397,398,84,612,725,622,921
400,49,922,97,182,550,368
