{'partition': 871, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 154, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 834, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 682, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 454, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 594, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 951, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 768, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 867, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 803, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'UNSAT', 'seed': ''}
{'partition': 86, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 228, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 169, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 73, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 987, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 559, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 558, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 96, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 10, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 0, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 892, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 204, 'kissat': 'TIMEOUT', 'drat': 'SKIP', 'cadical': 'TIMEOUT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 508, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 924, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 613, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 467, 'kissat': 'TIMEOUT', 'drat': 'SKIP', 'cadical': 'TIMEOUT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 991, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 996, 'kissat': 'TIMEOUT', 'drat': 'SKIP', 'cadical': 'TIMEOUT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 161, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 842, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 244, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
{'partition': 358, 'kissat': 'UNSAT', 'drat': 'OK', 'cadical': 'UNSAT', 'cms': 'TIMEOUT', 'seed': ''}
Results written to /Users/mac/Desktop/sha256_review/overnight_20260330_134622/step2_random_5bit.csv
