m0,fill,hw56,min_hw,p10_hw,mean_hw
2445,240,41,24,42,47.95009994506836
3656,240,42,24,42,47.980098724365234
1267,51,38,24,42,47.989200592041016
555,4095,49,24,42,48.078399658203125
599,51,41,25,42,47.842098236083984
3846,2048,44,25,42,47.935001373291016
1651,2048,40,25,42,47.99369812011719
1474,0,51,25,42,48.00090026855469
1522,0,46,25,42,48.0181999206543
3180,240,40,25,42,48.02349853515625
487,204,40,26,42,47.93790054321289
835,51,45,26,42,47.99209976196289
2894,240,39,26,42,48.006099700927734
1585,15,52,26,42,48.04349899291992
