2-bit kernel sweep: 496 kernels × 2^28 M[0] × fill=0xffffffff
  kernel=0x80001000 m0=0x0a01a078 hw56=120 dW61=14 hw63=102
  ** kernel 0x80001000 (bits 31,12): 1 hits **
  kernel=0x40800000 m0=0x06ef1421 hw56=115 dW61=17 hw63=104
  ** kernel 0x40800000 (bits 30,23): 1 hits **
  kernel=0x40000004 m0=0x004c174d hw56=110 dW61=21 hw63=103
  ** kernel 0x40000004 (bits 30,2): 1 hits **
  kernel=0x20200000 m0=0x07b1ac36 hw56=117 dW61=13 hw63=101
  ** kernel 0x20200000 (bits 29,21): 1 hits **
  kernel=0x20010000 m0=0x09fdc041 hw56=113 dW61=13 hw63=106
  ** kernel 0x20010000 (bits 29,16): 1 hits **
  kernel=0x20000200 m0=0x09bc88c0 hw56=102 dW61=15 hw63=105
  ** kernel 0x20000200 (bits 29,9): 1 hits **
  kernel=0x10040000 m0=0x0e8f1c30 hw56=106 dW61=13 hw63=97
  ** kernel 0x10040000 (bits 28,18): 1 hits **
  kernel=0x10000400 m0=0x046a8be4 hw56=115 dW61=15 hw63=106
  ** kernel 0x10000400 (bits 28,10): 1 hits **
  kernel=0x10000080 m0=0x034dc11c hw56=116 dW61=19 hw63=101
  ** kernel 0x10000080 (bits 28,7): 1 hits **
