Candidate: M[0]=0x34c
Cascade-Optimized DP at N=10
Search space: 2^40 = 1099511627776

  W1[57]=1: 2 local colls, 2 total [236s]
  W1[57]=3: 1 local colls, 1 total [251s]
  W1[57]=11: 2 local colls, 2 total [257s]
  W1[57]=7: 2 local colls, 2 total [265s]
  W1[57]=13: 2 local colls, 2 total [267s]
  W1[57]=12: 0 local colls, 0 total [268s]
  W1[57]=6: 0 local colls, 0 total [269s]
  W1[57]=2: 4 local colls, 4 total [271s]
  W1[57]=0: 0 local colls, 0 total [273s]
  W1[57]=8: 1 local colls, 1 total [275s]
  W1[57]=10: 1 local colls, 1 total [275s]
  W1[57]=5: 1 local colls, 1 total [288s]
  W1[57]=9: 1 local colls, 1 total [293s]
  W1[57]=14: 0 local colls, 0 total [297s]
  W1[57]=15: 1 local colls, 1 total [304s]
  W1[57]=4: 1 local colls, 1 total [305s]
  W1[57]=17: 2 local colls, 3 total [518s]
  W1[57]=18: 1 local colls, 3 total [541s]
  W1[57]=16: 0 local colls, 2 total [543s]
  W1[57]=21: 2 local colls, 2 total [549s]
  W1[57]=22: 1 local colls, 1 total [554s]
  W1[57]=24: 4 local colls, 4 total [566s]
  W1[57]=19: 2 local colls, 4 total [578s]
  W1[57]=25: 3 local colls, 4 total [586s]
  W1[57]=23: 2 local colls, 6 total [588s]
  W1[57]=29: 0 local colls, 0 total [590s]
  W1[57]=20: 0 local colls, 2 total [597s]
  W1[57]=26: 1 local colls, 2 total [598s]
  W1[57]=28: 0 local colls, 1 total [607s]
  W1[57]=27: 2 local colls, 3 total [611s]
  W1[57]=30: 0 local colls, 1 total [612s]
  W1[57]=31: 2 local colls, 3 total [625s]
  W1[57]=32: 2 local colls, 5 total [812s]
  W1[57]=33: 0 local colls, 3 total [853s]
  W1[57]=36: 0 local colls, 1 total [854s]
  W1[57]=35: 3 local colls, 5 total [858s]
  W1[57]=38: 0 local colls, 4 total [860s]
  W1[57]=37: 1 local colls, 5 total [873s]
  W1[57]=44: 1 local colls, 2 total [884s]
  W1[57]=46: 0 local colls, 1 total [889s]
  W1[57]=42: 2 local colls, 4 total [891s]
  W1[57]=34: 0 local colls, 2 total [893s]
  W1[57]=45: 2 local colls, 5 total [895s]
  W1[57]=40: 0 local colls, 6 total [900s]
  W1[57]=43: 1 local colls, 3 total [900s]
  W1[57]=41: 3 local colls, 3 total [917s]
  W1[57]=39: 1 local colls, 5 total [924s]
  W1[57]=47: 1 local colls, 4 total [988s]
  W1[57]=48: 2 local colls, 7 total [1065s]
  W1[57]=52: 0 local colls, 4 total [1132s]
  W1[57]=51: 0 local colls, 5 total [1141s]
  W1[57]=50: 3 local colls, 4 total [1141s]
  W1[57]=49: 2 local colls, 5 total [1146s]
  W1[57]=55: 0 local colls, 1 total [1167s]
  W1[57]=59: 1 local colls, 7 total [1168s]
  W1[57]=53: 2 local colls, 7 total [1175s]
  W1[57]=58: 0 local colls, 5 total [1177s]
  W1[57]=57: 0 local colls, 2 total [1177s]
  W1[57]=61: 1 local colls, 4 total [1180s]
  W1[57]=54: 0 local colls, 2 total [1187s]
  W1[57]=56: 0 local colls, 4 total [1192s]
  W1[57]=62: 1 local colls, 6 total [1193s]
  W1[57]=60: 2 local colls, 5 total [1203s]
  W1[57]=63: 0 local colls, 4 total [1230s]
  W1[57]=64: 3 local colls, 10 total [1345s]
  W1[57]=68: 1 local colls, 6 total [1415s]
  W1[57]=66: 1 local colls, 6 total [1427s]
  W1[57]=67: 0 local colls, 4 total [1437s]
  W1[57]=73: 0 local colls, 2 total [1438s]
  W1[57]=65: 2 local colls, 6 total [1444s]
  W1[57]=70: 0 local colls, 7 total [1450s]
  W1[57]=72: 2 local colls, 7 total [1456s]
  W1[57]=76: 2 local colls, 6 total [1458s]
  W1[57]=71: 0 local colls, 7 total [1460s]
  W1[57]=69: 3 local colls, 4 total [1462s]
  W1[57]=74: 0 local colls, 4 total [1470s]
  W1[57]=77: 1 local colls, 7 total [1483s]
  W1[57]=75: 0 local colls, 2 total [1488s]
  W1[57]=78: 3 local colls, 8 total [1503s]
  W1[57]=79: 2 local colls, 6 total [1511s]
  W1[57]=80: 2 local colls, 12 total [1617s]
  W1[57]=82: 0 local colls, 6 total [1627s]
  W1[57]=89: 0 local colls, 7 total [1634s]
  W1[57]=83: 4 local colls, 8 total [1638s]
  W1[57]=81: 2 local colls, 8 total [1639s]
  W1[57]=84: 0 local colls, 2 total [1640s]
  W1[57]=85: 1 local colls, 7 total [1642s]
  W1[57]=88: 1 local colls, 7 total [1645s]
