Candidate: N=10 M[0]=0x34c fill=0x3ff
Cascade DP: search 2^40 = 1099511627776 candidates

  #1: W1=[280,6,216,187]
  #2: W1=[280,3f,f9,c6]
  #1: W1=[100,f7,391,ed]
  #1: W1=[300,307,35,7]
  #1: W1=[180,376,32e,394]
  #1: W1=[81,96,e6,ea]
  #1: W1=[1,fc,392,b4]
  #3: W1=[281,254,1da,a6]
  #1: W1=[381,2b4,218,13f]
  #1: W1=[201,330,e6,3b9]
  #2: W1=[1,3e8,32d,62]
  #2: W1=[82,38,e6,3ef]
  #2: W1=[382,7f,16b,71]
  #3: W1=[382,c3,53,ac]
  #3: W1=[2,1d2,190,2c4]
  #2: W1=[202,1cc,54,2cf]
  #4: W1=[2,328,290,3db]
  #3: W1=[82,324,171,32b]
  #5: W1=[2,36f,eb,2e5]
  #4: W1=[82,362,46,2f2]
  #2: W1=[302,378,3c6,12d]
  #2: W1=[103,13a,124,18e]
  #4: W1=[383,20b,391,77]
  #3: W1=[203,268,318,39c]
  #3: W1=[303,357,156,15e]
  #4: W1=[303,357,156,18e]
  #5: W1=[83,349,219,325]
  #5: W1=[303,3da,79,284]
  #5: W1=[384,92,3a7,129]
  #4: W1=[204,24e,3c1,249]
  #5: W1=[205,ec,59,324]
  #4: W1=[285,345,90,1a1]
  #2: W1=[186,23d,2a9,3d1]
  #3: W1=[186,29a,392,ce]
  #3: W1=[106,318,22a,29d]
  #5: W1=[286,346,184,3e1]
  #4: W1=[187,1a,30a,214]
  #5: W1=[187,d4,d,c8]
  #4: W1=[109,f5,3c9,346]
  #5: W1=[10c,1fd,139,3c]
  [52%] w57=0x20f, 17179869184 tested, 7 coll, 763.5s, ETA 717s
  [2%] w57=0xf, 17179869184 tested, 19 coll, 764.4s, ETA 48156s
  [89%] w57=0x38f, 17179869184 tested, 17 coll, 764.9s, ETA 94s
  [39%] w57=0x18f, 17179869184 tested, 15 coll, 764.9s, ETA 1193s
  [77%] w57=0x30f, 17179869184 tested, 14 coll, 765.2s, ETA 234s
  [27%] w57=0x10f, 17179869184 tested, 7 coll, 765.3s, ETA 2116s
  [64%] w57=0x28f, 17179869184 tested, 19 coll, 765.9s, ETA 430s
  [14%] w57=0x8f, 17179869184 tested, 12 coll, 766.4s, ETA 4684s
  [53%] w57=0x21f, 34359738368 tested, 15 coll, 1527.3s, ETA 1348s
  [41%] w57=0x19f, 34359738368 tested, 29 coll, 1527.6s, ETA 2233s
  [91%] w57=0x39f, 34359738368 tested, 41 coll, 1527.6s, ETA 158s
  [3%] w57=0x1f, 34359738368 tested, 41 coll, 1527.8s, ETA 47361s
  [28%] w57=0x11f, 34359738368 tested, 21 coll, 1528.6s, ETA 3906s
  [78%] w57=0x31f, 34359738368 tested, 28 coll, 1529.1s, ETA 428s
  [66%] w57=0x29f, 34359738368 tested, 33 coll, 1529.9s, ETA 801s
  [16%] w57=0x9f, 34359738368 tested, 33 coll, 1530.5s, ETA 8265s
  [92%] w57=0x3af, 51539607552 tested, 53 coll, 2290.8s, ETA 194s
  [55%] w57=0x22f, 51539607552 tested, 24 coll, 2293.7s, ETA 1900s
  [80%] w57=0x32f, 51539607552 tested, 40 coll, 2293.8s, ETA 585s
  [5%] w57=0x2f, 51539607552 tested, 58 coll, 2294.1s, ETA 46646s
  [42%] w57=0x1af, 51539607552 tested, 42 coll, 2294.2s, ETA 3144s
  [67%] w57=0x2af, 51539607552 tested, 50 coll, 2294.9s, ETA 1121s
  [17%] w57=0xaf, 51539607552 tested, 50 coll, 2295.0s, ETA 11058s
  [30%] w57=0x12f, 51539607552 tested, 38 coll, 2295.1s, ETA 5436s
  [44%] w57=0x1bf, 68719476736 tested, 51 coll, 3055.3s, ETA 3928s
  [94%] w57=0x3bf, 68719476736 tested, 60 coll, 3055.6s, ETA 204s
  [81%] w57=0x33f, 68719476736 tested, 57 coll, 3057.3s, ETA 706s
  [6%] w57=0x3f, 68719476736 tested, 72 coll, 3057.3s, ETA 45860s
  [19%] w57=0xbf, 68719476736 tested, 59 coll, 3057.9s, ETA 13251s
  [69%] w57=0x2bf, 68719476736 tested, 75 coll, 3058.5s, ETA 1390s
  [31%] w57=0x13f, 68719476736 tested, 60 coll, 3058.7s, ETA 6729s
  [56%] w57=0x23f, 68719476736 tested, 36 coll, 3058.8s, ETA 2379s
  [95%] w57=0x3cf, 85899345920 tested, 73 coll, 3834.9s, ETA 189s
  [45%] w57=0x1cf, 85899345920 tested, 65 coll, 3836.3s, ETA 4630s
  [8%] w57=0x4f, 85899345920 tested, 92 coll, 3836.5s, ETA 45271s
  [70%] w57=0x2cf, 85899345920 tested, 89 coll, 3838.0s, ETA 1620s
  [33%] w57=0x14f, 85899345920 tested, 82 coll, 3838.0s, ETA 7859s
