M[0]=0x0
  [268435456] 6% coll=6
  [536870912] 12% coll=7
  [805306368] 18% coll=15
  [1073741824] 25% coll=17
  [1342177280] 31% coll=22
  [1610612736] 37% coll=24
  [1879048192] 43% coll=30
  [2147483648] 50% coll=34
  [2415919104] 56% coll=38
  [2684354560] 62% coll=39
  [2952790016] 68% coll=43
  [3221225472] 75% coll=44
  [3489660928] 81% coll=46
  [3758096384] 87% coll=47
  [4026531840] 93% coll=48

Collisions: 49 / 4294967296 = 0.0000000114

HW distribution:
  HW= 0:         49 (0.0000%)
  HW= 1:         60 (0.0000%)
  HW= 2:        734 (0.0000%)
  HW= 3:       5659 (0.0001%)
  HW= 4:      38428 (0.0009%)
  HW= 5:     208362 (0.0049%)
  HW= 6:     928887 (0.0216%)
  HW= 7:    3418652 (0.0796%)
  HW= 8:   10619742 (0.2473%)
  HW= 9:   28203011 (0.6567%)
  HW=10:   64687029 (1.5061%)
  HW=11:  129193177 (3.0080%)
  HW=12:  225790492 (5.2571%)
  HW=13:  347207286 (8.0840%)
  HW=14:  471068316 (10.9679%)
  HW=15:  565352063 (13.1631%)
  HW=16:  600739622 (13.9871%)
  HW=17:  565611486 (13.1692%)
  HW=18:  471459631 (10.9770%)
  HW=19:  347557242 (8.0922%)
  HW=20:  225974062 (5.2614%)
  HW=21:  129176371 (3.0076%)
  HW=22:   64590464 (1.5039%)
  HW=23:   28082928 (0.6539%)
  HW=24:   10536394 (0.2453%)
  HW=25:    3370096 (0.0785%)
  HW=26:     905224 (0.0211%)
  HW=27:     200679 (0.0047%)
  HW=28:      35730 (0.0008%)
  HW=29:       4923 (0.0001%)
  HW=30:        464 (0.0000%)
  HW=31:         31 (0.0000%)
  HW=32:          2 (0.0000%)

Near-collisions:
  HW<=0:         49 (0.000001%)
  HW<=1:        109 (0.000003%)
  HW<=2:        843 (0.000020%)
  HW<=3:       6502 (0.000151%)
  HW<=4:      44930 (0.001046%)
  HW<=5:     253292 (0.005897%)
  HW<=6:    1182179 (0.027525%)
  HW<=7:    4600831 (0.107121%)
  HW<=8:   15220573 (0.354382%)
