Parallel Partition Solver: da57=0 constrained sr=60
  M[0]=0x44b49bc3, fill=0x80000000
  dW57=0xddb49ee1 (da57=0 constraint)
  Partitions: 256 (8 bits of W1[58] MSBs)
  Workers: 21, Timeout: 3600s per partition
  Total compute: up to 256.0 CPU-hours

  [  7/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [ 11/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [  5/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [  9/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [  4/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [  0/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [  2/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [  1/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [ 19/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [  6/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [ 14/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [ 16/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [ 15/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [ 13/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [  3/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [ 20/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [ 10/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [ 12/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [  8/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [ 18/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [ 17/256] TIMEOUT in  3600.0s  (wall: 3600s)
  [ 22/256] TIMEOUT in  3600.0s  (wall: 7200s)
  [ 23/256] TIMEOUT in  3600.0s  (wall: 7200s)
  [ 32/256] TIMEOUT in  3600.0s  (wall: 7200s)
  [ 21/256] TIMEOUT in  3600.0s  (wall: 7200s)
  [ 26/256] TIMEOUT in  3600.0s  (wall: 7200s)
  [ 27/256] TIMEOUT in  3600.0s  (wall: 7200s)
  [ 24/256] TIMEOUT in  3600.0s  (wall: 7200s)
  [ 36/256] TIMEOUT in  3600.0s  (wall: 7200s)
  [ 29/256] TIMEOUT in  3600.0s  (wall: 7200s)
  [ 25/256] TIMEOUT in  3600.0s  (wall: 7200s)
  [ 30/256] TIMEOUT in  3600.0s  (wall: 7200s)
  [ 28/256] TIMEOUT in  3600.0s  (wall: 7200s)
  [ 34/256] TIMEOUT in  3600.0s  (wall: 7200s)
  [ 33/256] TIMEOUT in  3600.0s  (wall: 7200s)
  [ 38/256] TIMEOUT in  3600.0s  (wall: 7200s)
  [ 31/256] TIMEOUT in  3600.0s  (wall: 7200s)
  [ 37/256] TIMEOUT in  3600.0s  (wall: 7200s)
  [ 35/256] TIMEOUT in  3600.0s  (wall: 7200s)
  [ 39/256] TIMEOUT in  3600.0s  (wall: 7200s)
  [ 40/256] TIMEOUT in  3600.0s  (wall: 7201s)
  [ 41/256] TIMEOUT in  3600.0s  (wall: 7201s)
