N=6: sig1 rots=(3,4,>>2), predicted pair=(3,4)
  Actual ops: r_sig1=[3, 4], s_sig1=2
  CNF: 1932v 8009c
  sr=61 full: UNSAT in 7s
  Skip (0,1): UNSAT in 11s 
  Skip (0,2): UNSAT in 8s 
  Skip (0,3): UNSAT in 9s 
  Skip (0,4): UNSAT in 10s 
  Skip (0,5): UNSAT in 9s 
  Skip (1,2): UNSAT in 8s 
  Skip (1,3): SAT in 6s *** SAT! ***
  Skip (1,4): UNSAT in 8s 
  Skip (1,5): UNSAT in 9s 
  Skip (2,3): UNSAT in 8s 
  Skip (2,4): UNSAT in 7s 
  Skip (2,5): SAT in 2s *** SAT! ***
  Skip (3,4): UNSAT in 9s  [PREDICTED]
  Skip (3,5): UNSAT in 8s 
  Skip (4,5): UNSAT in 8s 
Done.
