UNSAT Core Pair Test: sr=61 at N=8
Testing all C(8,2)=28 pairs of removed bits
Base CNF: 2624v 10926c
  Skip bits (0,1): UNSAT in 195s 
  Skip bits (0,2): UNSAT in 196s 
  Skip bits (0,3): UNSAT in 62s 
  Skip bits (0,4): UNSAT in 37s 
  Skip bits (0,5): UNSAT in 87s 
  Skip bits (0,6): UNSAT in 143s 
  Skip bits (0,7): UNSAT in 83s 
  Skip bits (1,2): UNSAT in 286s 
  Skip bits (1,3): UNSAT in 70s 
  Skip bits (1,4): UNSAT in 129s 
  Skip bits (1,5): UNSAT in 174s 
  Skip bits (1,6): UNSAT in 128s 
  Skip bits (1,7): UNSAT in 104s 
  Skip bits (2,3): UNSAT in 30s 
  Skip bits (2,4): UNSAT in 94s 
  Skip bits (2,5): UNSAT in 116s 
  Skip bits (2,6): UNSAT in 153s 
  Skip bits (2,7): UNSAT in 81s 
  Skip bits (3,4): UNSAT in 208s 
  Skip bits (3,5): UNSAT in 194s 
  Skip bits (3,6): UNSAT in 80s 
  Skip bits (3,7): UNSAT in 98s 
  Skip bits (4,5): SAT in 118s *** SAT! ***
  Skip bits (4,6): UNSAT in 95s 
  Skip bits (4,7): UNSAT in 124s 
  Skip bits (5,6): UNSAT in 70s 
  Skip bits (5,7): UNSAT in 65s 
  Skip bits (6,7): UNSAT in 81s 
Done.
